Common Name,Latin Name
Acorn Woodpecker,Melanerpes-formicivorus
American Avocet,Recurvirostra-americana
American Bittern,Botaurus-lentiginosus
American Coot,Fulica-americana
American Crow,Corvus-brachyrhynchos
American Goldfinch,Spinus-tristis
American Kestrel,Falco-sparverius
American Oystercatcher,Haematopus-palliatus
American Redstart,Setophaga-ruticilla
American Robin,Turdus-migratorius
American White Pelican,Pelecanus-erythrorhynchos
American Woodcock,Scolopax-minor
Anhinga,Anhinga-anhinga
Anna’s Hummingbird,Calypte-anna
Ash-Throated Flycatcher,Myiarchus-cinerascens
Atlantic Puffin,Fratercula-arctica
Baird’s Sparrow,Ammodramus-bairdii
Bald Eagle,Haliaeetus-leucocephalus
Baltimore Oriole,Icterus-galbula
Barn Owl,Tyto-alba
Barn Swallow,Hirundo-rustica
Barred Owl,Strix-varia
Barrow’s Goldeneye,Bucephala-islandica
Bell’s Vireo,Vireo-bellii
Belted Kingfisher,Megaceryle-alcyon
Bewick’s Wren,Thryomanes-bewickii
Black Skimmer,Rynchops-niger
Black Tern,Chlidonias-niger
Black Vulture,Coragyps-atratus
Black-Bellied Whistling Duck,Dendrocygna-autumnalis
Black-Billed Magpie,Pica-hudsonia
Black-Chinned Hummingbird,Archilochus-alexandri
Black-Crowned Night-Heron,Nycticorax-nycticorax
Black-Necked Stilt,Himantopus-mexicanus
Blue Grosbeak,Passerina-caerulea
Blue Jay,Cyanocitta-cristata
Blue-Gray Gnatcatcher,Polioptila-caerulea
Blue-Winged Warbler,Vermivora-cyanoptera
Bobolink,Dolichonyx-oryzivorus
Brant,Branta-bernicla
Brewer’s Blackbird,Euphagus-cyanocephalus
Broad-Winged Hawk,Buteo-platypterus
Bronzed Cowbird,Molothrus-aeneus
Brown Pelican,Pelecanus-occidentalis
Brown-Headed Cowbird,Molothrus-ater
Burrowing Owl,Athene-cunicularia
Bushtit,Psaltriparus-minimus
California Condor,Gymnogyps-californianus
California Quail,Callipepla-californica
Canada Goose,Branta-canadensis
Canvasback,Aythya-valisineria
Carolina Chickadee,Poecile-carolinensis
Carolina Wren,Thryothorus-ludovicianus
Cassin’s Finch,Haemorhous-cassinii
Cassin’s Sparrow,Peucaea-cassinii
Cedar Waxwing,Bombycilla-cedrorum
Cerulean Warbler,Setophaga-cerulea
Chestnut-Collared Longspur,Calcarius-ornatus
Chihuahuan Raven,Corvus-cryptoleucus
Chimney Swift,Chaetura-pelagica
Chipping Sparrow,Spizella-passerina
Clark’s Grebe,Aechmophorus-clarkii
Clark’s Nutcracker,Nucifraga-columbiana
Common Grackle,Quiscalus-quiscula
Common Loon,Gavia-immer
Common Merganser,Mergus-merganser
Common Nighthawk,Chordeiles-minor
Common Raven,Corvus-corax
Common Yellowthroat,Geothlypis-trichas
Cooper’s Hawk,Accipiter-cooperii
Dark-Eyed Junco,Junco-hyemalis
Dickcissel,Spiza-americana
Double-Crested Cormorant,Phalacrocorax-auritus
Downy Woodpecker,Picoides-pubescens
Eastern Bluebird,Sialia-sialis
Eastern Kingbird,Tyrannus-tyrannus
Eastern Phoebe,Sayornis-phoebe
Eastern Screech Owl,Megascops-asio
Ferruginous Hawk,Buteo-regalis
Fish Crow,Corvus-ossifragus
Forster’s Tern,Sterna-forsteri
Franklin’s Gull,Leucophaeus-pipixcan
Golden Eagle,Aquila-chrysaetos
Grasshopper Sparrow,Ammodramus-savannarum
Gray Catbird,Dumetella-carolinensis
Great Blue Heron,Ardea-herodias
Great Crested Flycatcher,Myiarchus-crinitus
Great Egret,Ardea-alba
Great Horned Owl,Bubo-virginianus
Greater Prairie Chicken,Tympanuchus-cupido
Greater Roadrunner,Geococcyx-californianus
Green Heron,Butorides-virescens
Hermit Thrush,Catharus-guttatus
Hooded Merganser,Lophodytes-cucullatus
Hooded Warbler,Setophaga-citrina
Horned Lark,Eremophila-alpestris
House Finch,Haemorhous-mexicanus
House Wren,Troglodytes-aedon
Inca Dove,Columbina-inca
Indigo Bunting,Passerina-cyanea
Juniper Titmouse,Baeolophus-ridgwayi
Killdeer,Charadrius-vociferus
King Rail,Rallus-elegans
Lazuli Bunting,Passerina-amoena
Lincoln’s Sparrow,Melospiza-lincolnii
Loggerhead Shrike,Lanius-ludovicianus
Mallard,Anas-platyrhynchos
Mississippi Kite,Ictinia-mississippiensis
Mountain Bluebird,Sialia-currucoides
Mountain Chickadee,Poecile-gambeli
Mourning Dove,Zenaida-macroura
Northern Bobwhite,Colinus-virginianus
Northern Cardinal,Cardinalis-cardinalis
Northern Flicker,Colaptes-auratus
Northern Harrier,Circus-hudsonius
Northern Mockingbird,Mimus-polyglottos
Northern Shoveler,Spatula-clypeata
Osprey, Pandion-haliaetus
Painted Bunting,Passerina-ciris
Painted Whitestart,Myioborus-pictus
Peregrine Falcon,Falco-peregrinus
Pied-Billed Grebe,Podilymbus-podiceps
Pileated Woodpecker,Dryocopus-pileatus
Pine Siskin,Spinus-pinus
Prothonotary Warbler,Protonotaria-citrea
Purple Gallinule,Porphyrio-martinica
Purple Martin,Progne-subis
Pygmy Nuthatch,Sitta-pygmaea
Red Crossbill,Loxia-curvirostra
Red-Bellied Woodpecker,Melanerpes-carolinus
Red-Breasted Merganser,Mergus-serrator
